district_id,month_closed,tier
3904380,2024-05-01,3
3904395,2024-06-13,2
3904419,2025-04-29,2
3904543,2024-04-12,3
3904558,2024-04-18,3
3904613,2024-04-29,3
3904676,2024-07-25,2
3904689,2024-04-12,4
3904708,2024-12-11,1
3904734,2025-02-19,2
3904813,2024-03-25,3
3904822,2024-08-06,3
3904875,2025-02-19,2
4002760,2024-07-01,3
4004500,2025-03-27,4
4005490,2025-01-23,4
4007670,2024-09-27,3
4008310,2024-07-24,3
4008850,2024-08-27,3
4016530,2024-08-02,2
4019440,2024-12-11,1
4022770,2025-02-24,4
4023970,2025-03-03,2
4030240,2024-08-28,4
4032010,2024-07-10,3
4103840,2025-04-30,1
4109720,2025-04-09,1
4200013,2024-08-12,1
4200061,2024-03-26,2
4200092,2024-08-16,1
4203480,2024-06-18,1
4208790,2025-01-10,1
4212170,2024-10-21,2
4215810,2024-11-13,2
4217940,2024-03-26,1
4218990,2025-04-30,1
4222620,2024-03-26,2
4224060,2024-08-20,1
4289310,2024-03-26,1
4400990,2024-03-26,1
4500720,2024-08-23,1
4501110,2024-08-29,1
4501250,2024-04-18,1
4501440,2024-05-21,2
4501770,2024-05-14,2
4501860,2024-05-10,2
4502700,2024-07-08,2
4502730,2024-04-11,1
4612300,2024-03-27,1
4677460,2025-01-24,1
4700090,2024-06-04,3
4700142,2024-03-27,2
4700148,2024-03-26,3
4700151,2024-04-22,3
4700330,2024-05-03,3
4700360,2024-05-08,3
4700750,2024-05-02,2
4701080,2024-05-01,2
4701500,2025-04-22,2
4701980,2024-05-23,3
4702130,2024-05-01,2
4702490,2024-06-06,2
4702580,2025-03-13,4
4702610,2025-03-12,2
4702790,2024-05-06,3
4703000,2025-04-07,2
4703180,2024-08-12,3
4703240,2024-05-02,3
4703330,2024-05-13,3
4703600,2025-02-04,3
4703780,2024-06-05,3
4704550,2024-03-26,2
4800251,2025-03-25,1
4800254,2024-05-08,1
4800292,2024-03-26,1
4801431,2024-08-01,1
4801435,2024-05-16,1
4812780,2024-05-13,2
4814280,2025-02-20,1
4814400,2024-05-06,2
4815180,2024-05-08,2
4815240,2024-04-19,2
4815910,2024-06-13,2
4817700,2024-09-30,1
4818000,2024-06-25,1
4822140,2024-04-10,1
4822170,2024-05-08,1
4822770,2024-05-03,1
4823910,2024-03-27,2
4824530,2024-04-30,2
4827330,2024-05-15,2
4827870,2024-09-13,1
4829820,2024-05-29,1
4830360,2024-03-27,1
4830930,2024-05-08,1
4835730,2024-05-13,1
4837650,2025-04-14,1
4839360,2024-08-13,1
4840920,2024-03-26,2
4841280,2024-07-06,1
4841350,2024-08-28,2
4842570,2024-05-31,1
4846680,2025-02-07,1
4899130,2024-06-04,1
4900194,2025-02-18,1
4901050,2025-05-05,1
5100152,2024-06-03,3
5100870,2025-03-27,1
5101470,2024-05-31,2
5102250,2024-05-24,2
5102360,2024-05-15,1
5103420,2024-05-15,1
5103710,2024-06-04,3
5300030,2024-03-25,3
5300347,2024-05-05,4
5301410,2024-05-28,4
5304230,2024-04-15,4
5304860,2024-06-03,4
5306220,2024-05-09,4
5307230,2024-05-13,4
5307710,2025-01-31,4
5308970,2025-04-02,3
5400210,2024-09-20,1
5400300,2024-03-26,2
5400960,2024-04-17,1
5401230,2024-03-26,2
5401320,2024-05-13,2
5501470,2025-01-08,1
5501770,2024-05-28,2
5501800,2024-05-07,2
5502880,2024-04-26,2
5503060,2024-06-11,1
5503690,2024-05-13,2
5505220,2024-07-10,2
5508790,2024-05-16,2
5511640,2024-05-23,2
5512330,2024-10-01,1
5513650,2024-03-26,1
5602150,2024-04-23,2
5605302,2024-04-23,2
5605695,2024-05-06,2
5900114,2024-06-17,2
5900128,2024-05-10,1
40042703160,2024-05-07,1
40083103196,2024-08-15,1
60258214639,2024-03-25,1
130228004259,2024-04-11,1
350006001164,2024-05-13,1
360007802591,2024-04-03,1
360113606549,2024-04-10,1
360116806616,2025-01-04,1
380040500911,2024-04-18,1
390004002939,2024-03-26,2
400077702789,2024-04-25,2
_2501241526AT ,2025-01-24,1
A1192099,2024-07-12,2
A1301410,2024-08-08,1
A1700863,2024-11-18,1
A1701777,2024-04-12,1
A1701794,2024-03-26,1
A1902476,2024-03-26,1
A1992045,2024-07-03,1
A2100201,2024-05-07,1
A2101215,2024-05-07,1
A2101986,2024-12-11,1
A2102807,2024-03-26,1
A9104446,2024-05-09,1
A9303500,2024-06-06,2
co00341754,2024-11-26,1
,2025-05-06,1
,2025-05-01,1
,2025-03-06,1
,2024-11-15,1
,2024-11-12,2
,2024-09-18,1
,2024-09-16,1
,2024-09-05,1
,2024-09-04,2
,2024-08-21,1
,2024-08-04,2
,2024-09-03,1
,2024-08-23,1
,2024-07-12,1
,2024-11-25,2
,2024-06-04,1
,2024-05-15,1
,2024-04-11,2
,2025-01-30,1
,2024-04-11,2
,2024-03-26,1
,2024-03-27,1
,2024-03-25,3
,2024-07-03,1
,2024-06-27,2
,2024-06-11,2
,1899-12-30,2
,2024-03-25,1
,2024-04-17,3
,2024-07-31,2
,2024-05-15,1
